Ouvrage,Latitude,Longitude,Region
10000078,-33.4370859,148.2229741,NSW
10000079,-33.4370859,148.2229741,NSW
10000155,-35.9558106,145.9646528,NSW
10000267,-35.102165,147.494109,NSW
10001368,-33.4370859,148.2229741,NSW
10001555,-33.9557138,141.3686861,NSW
10002201,-35.7123837,146.8757709,NSW
10002241,-33.4415415,147.4806135,NSW
10002941,-29.9776,149.3161417,NSW
10002976,-33.2153195,145.4939845,NSW
10002977,-34.6736023,145.6226968,NSW
10002978,-33.93115,151.2001167,NSW
10002979,-34.0116167,151.2104,NSW
10002987,-29.397496,149.4458504,NSW
10003016,-28.8244,153.4405,NSW
10003040,-33.2153195,145.4939845,NSW
10003043,-29.9867,146.916,NSW
10003068,-30.46037,149.980303,NSW
10003069,-29.9878854,148.7419863,NSW
10003094,-29.3947184,149.8191712,NSW
10003124,-32.0953,150.1338,NSW
10003143,-29.9878854,148.7419863,NSW
10003160,-33.8204,148.5939,NSW
10003164,-30.1741,145.8021,NSW
10003247,-33.5384003,145.3301533,NSW
10003305,-31.4585933,150.5908693,NSW
10003411,-33.9476833,151.2317,NSW
10003412,-33.4951462,145.3212326,NSW
10003413,-33.2152692,145.347917,NSW
10003519,-33.897508,151.218447,NSW
10003595,-34.9665421,145.397384,NSW
10003664,-32.6,149.6209,NSW
10003672,-33.2991,151.2475,NSW
10003673,-32.1534,150.0389,NSW
10003864,-30.46037,149.980303,NSW
10003866,-32.7511,151.1028,NSW
10003870,-31.2302,150.4631,NSW
10003944,-29.4181499,149.9989045,NSW
10003945,-30.4671,150.0305,NSW
10003946,-30.123,149.5572,NSW
10003981,-33.5384003,145.3301533,NSW
10004100,-29.3947184,149.8191712,NSW
10004112,-30.5179136,150.2148139,NSW
10004114,-34.5342721,145.807051,NSW
10004117,-30.2364,145.7081,NSW
10004128,-33.9669333,151.2283333,NSW
10004168,-30.5597,145.1136,NSW
10004182,-35.0658014,145.3797645,NSW
10004183,-30.0484324,148.9630996,NSW
10004209,-32.5749607,142.1295283,NSW
10004234,-30.039,149.3184,NSW
10004315,-30.2628,145.6792,NSW
10004418,-34.431564,145.8173495,NSW
10004419,-33.7927,148.5919,NSW
10004445,-35.5743467,145.1596617,NSW
10004476,-31.0111033,149.8602945,NSW
10004581,-34.9665421,145.397384,NSW
10004582,-31.0111033,149.8602945,NSW
10004609,-33.4951462,145.3212326,NSW
10004610,-33.2152692,145.347917,NSW
10004660,-33.2885837,145.8487692,NSW
10004662,-34.6194623,145.3953613,NSW
10004663,-34.431564,145.8173495,NSW
10004664,-33.8204,148.5939,NSW
10004813,-31.9711776,150.8638032,NSW
10004858,-35.8202634,145.1293072,NSW
10004861,-28.8244,153.4405,NSW
10004927,-34.7419434,145.957825,NSW
10004941,-29.9405509,149.3204167,NSW
10004942,-34.5935626,146.1627451,NSW
10004995,-33.3670013,145.1790051,NSW
10005015,-34.4785757,145.5689289,NSW
10005016,-29.8326022,148.9905912,NSW
10005049,-33.3875,148.1376,NSW
10005073,-31.2552666,150.4747624,NSW
10005147,-30.1741617,149.1269766,NSW
10005149,-28.8637,153.4338,NSW
10005160,-32.1059,150.8415,NSW
10005207,-35.5221929,145.4493687,NSW
10005208,-34.4785757,145.5689289,NSW
10005210,-36.7093,149.8831,NSW
